"source_id","experiment_id","variable_id","member_id","window","window_start","window_end","has_file_overlap","file_count"
"CNRM-ESM2-1","historical","siconc","r1i1p1f2","2006-2014",2006-01-01,2014-12-31,TRUE,1
"CNRM-ESM2-1","ssp126","siconc","r1i1p1f2","2030-2060",2030-01-01,2060-12-31,TRUE,1
"CNRM-ESM2-1","ssp126","siconc","r1i1p1f2","2050-2060",2050-01-01,2060-12-31,TRUE,1
"CNRM-ESM2-1","ssp126","siconc","r1i1p1f2","2090-2100",2090-01-01,2100-12-31,TRUE,1
"CNRM-ESM2-1","ssp245","siconc","r1i1p1f2","2030-2060",2030-01-01,2060-12-31,TRUE,1
"CNRM-ESM2-1","ssp245","siconc","r1i1p1f2","2050-2060",2050-01-01,2060-12-31,TRUE,1
"CNRM-ESM2-1","ssp245","siconc","r1i1p1f2","2090-2100",2090-01-01,2100-12-31,TRUE,1
"CNRM-ESM2-1","ssp585","siconc","r1i1p1f2","2030-2060",2030-01-01,2060-12-31,TRUE,1
"CNRM-ESM2-1","ssp585","siconc","r1i1p1f2","2050-2060",2050-01-01,2060-12-31,TRUE,1
"CNRM-ESM2-1","ssp585","siconc","r1i1p1f2","2090-2100",2090-01-01,2100-12-31,TRUE,1
"IPSL-CM6A-LR","historical","siconc","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,1
"IPSL-CM6A-LR","ssp126","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,2
"IPSL-CM6A-LR","ssp126","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,2
"IPSL-CM6A-LR","ssp126","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,2
"IPSL-CM6A-LR","ssp245","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,1
"IPSL-CM6A-LR","ssp245","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,1
"IPSL-CM6A-LR","ssp245","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,1
"IPSL-CM6A-LR","ssp585","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,2
"IPSL-CM6A-LR","ssp585","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,2
"IPSL-CM6A-LR","ssp585","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,2
"MPI-ESM1-2-HR","historical","siconc","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,33
"MPI-ESM1-2-HR","ssp126","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp126","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp126","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp245","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp245","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp245","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp585","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp585","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,18
"MPI-ESM1-2-HR","ssp585","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,18
"MPI-ESM1-2-LR","historical","siconc","r1i1p1f1","2006-2014",2006-01-01,2014-12-31,TRUE,9
"MPI-ESM1-2-LR","ssp126","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp126","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp126","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp245","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp245","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp245","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp585","siconc","r1i1p1f1","2030-2060",2030-01-01,2060-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp585","siconc","r1i1p1f1","2050-2060",2050-01-01,2060-12-31,TRUE,5
"MPI-ESM1-2-LR","ssp585","siconc","r1i1p1f1","2090-2100",2090-01-01,2100-12-31,TRUE,5
"UKESM1-0-LL","historical","siconc","r1i1p1f2","2006-2014",2006-01-01,2014-12-31,TRUE,2
"UKESM1-0-LL","ssp126","siconc","r1i1p1f2","2030-2060",2030-01-01,2060-12-31,TRUE,2
"UKESM1-0-LL","ssp126","siconc","r1i1p1f2","2050-2060",2050-01-01,2060-12-31,TRUE,2
"UKESM1-0-LL","ssp126","siconc","r1i1p1f2","2090-2100",2090-01-01,2100-12-31,TRUE,2
"UKESM1-0-LL","ssp245","siconc","r1i1p1f2","2030-2060",2030-01-01,2060-12-31,TRUE,2
"UKESM1-0-LL","ssp245","siconc","r1i1p1f2","2050-2060",2050-01-01,2060-12-31,TRUE,2
"UKESM1-0-LL","ssp245","siconc","r1i1p1f2","2090-2100",2090-01-01,2100-12-31,TRUE,2
"UKESM1-0-LL","ssp585","siconc","r1i1p1f2","2030-2060",2030-01-01,2060-12-31,TRUE,2
"UKESM1-0-LL","ssp585","siconc","r1i1p1f2","2050-2060",2050-01-01,2060-12-31,TRUE,2
"UKESM1-0-LL","ssp585","siconc","r1i1p1f2","2090-2100",2090-01-01,2100-12-31,TRUE,2
